id_ville,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
32017,79,beauvoir-sur-niort,BEAUVOIR-SUR-NIORT,"beauvoir sur niort",Beauvoir-sur-Niort,B626563,BFRSRNRT,79360,031,79031,2,03,5,1738,1329,1700,74,23.48,-0.466667,46.1667,-3123,51310,-02826,461046,36,90
32036,79,chauray,CHAURAY,chauray,Chauray,C600,XR,79180,081,79081,2,20,6,5985,4831,5200,412,14.5,-0.383333,46.35,-3015,51512,-02238,462138,32,91
32037,79,saint-maixent-l-ecole,SAINT-MAIXENT-L'ECOLE,"saint maixent l ecole",Saint-Maixent-l'École,S535253424,SNTMKSNTLKL,79400,270,79270,2,99,5,7483,6602,7500,1433,5.22,-0.2,46.4167,-2827,51570,-01229,462446,52,115
32041,79,aiffres,AIFFRES,aiffres,Aiffres,A162,AFRS,79230,003,79003,2,23,6,5229,4596,5100,203,25.72,-0.416667,46.2833,-3059,51429,-02502,461711,13,57
32050,79,creche,"LA CRECHE","la creche","La Crèche",L262,LKRX,79260,048,79048,2,25,6,5449,4683,5400,157,34.5,-0.3,46.3609,-2929,51512,-01760,462139,35,127
32053,79,saint-hilaire-la-palud,SAINT-HILAIRE-LA-PALUD,"saint hilaire la palud",Saint-Hilaire-la-Palud,S53464143,SNTHLRLPLT,79210,257,79257,2,14,6,1597,1352,1600,46,34.12,-0.716667,46.2667,-3387,51404,-04244,461548,1,30
32059,79,sauze-vaussais,SAUZE-VAUSSAIS,"sauze vaussais",Sauzé-Vaussais,S120,SSFSS,79190,307,79307,2,28,5,1616,1661,1600,84,19.08,0.1,46.1333,-2479,51261,+00618,460807,117,187
32060,79,mothe-saint-heray,"LA MOTHE-SAINT-HERAY","la mothe saint heray","La Mothe-Saint-Héray",L532536,LM0SNTHR,79800,184,79184,2,19,5,1801,1799,1800,120,14.92,-0.1,46.3667,-2718,51506,-00636,462118,67,178
32062,79,mauze-thouarsais,MAUZE-THOUARSAIS,"mauze thouarsais",Mauzé-Thouarsais,M2362,MS0RSS,79100,171,79171,1,32,6,2059,1989,2000,41,49.53,-0.266667,46.9833,-2904,52197,-01637,465838,49,120
32065,79,coulon,COULON,coulon,Coulon,C450,KLN,79510,100,79100,2,21,6,2224,2073,2200,74,29.79,-0.583333,46.3167,-3246,51471,-03506,461924,0,81
32069,79,mauze-sur-le-mignon,MAUZE-SUR-LE-MIGNON,"mauze sur le mignon",Mauzé-sur-le-Mignon,M264525,MSSRLMKNN,79210,170,79170,2,14,5,2800,2384,2700,118,23.62,-0.666667,46.2,-3342,51328,-04016,461143,6,46
32080,79,airvault,AIRVAULT,airvault,Airvault,A6143,ARFLT,79600,005,79005,3,01,5,3074,3097,3100,62,49.28,-0.15,46.8333,-2749,52029,-00815,464935,67,140
